category,package,name_on_pypi,snapshot_label,snapshot_date,selected_version,release_date,status,package_norm,name_on_pypi_norm,snapshot_order,is_missing_at_snapshot,is_released_at_snapshot,is_stable_version,is_usable_snapshot
LLM API,mistralai,mistralai,2026_current,2026-06-16,2.4.9,2026-06-03 13:04:20.694108+00:00,ok,mistralai,mistralai,5,False,True,True,True
LLM API,openai,openai,2022_end,2022-12-31,0.25.0,2022-11-02 19:49:07.292023+00:00,ok,openai,openai,1,False,True,True,True
LLM API,openai,openai,2023_end,2023-12-31,1.6.1,2023-12-22 11:07:28.955718+00:00,ok,openai,openai,2,False,True,True,True
LLM API,openai,openai,2024_end,2024-12-31,1.58.1,2024-12-17 20:02:26.503194+00:00,ok,openai,openai,3,False,True,True,True
LLM API,openai,openai,2025_end,2025-12-31,2.14.0,2025-12-19 03:28:43.727437+00:00,ok,openai,openai,4,False,True,True,True
LLM API,openai,openai,2026_current,2026-06-16,2.41.1,2026-06-10 16:10:35.756209+00:00,ok,openai,openai,5,False,True,True,True
LLM API,replicate,replicate,2022_end,2022-12-31,0.4.0,2022-09-14 18:10:27.750388+00:00,ok,replicate,replicate,1,False,True,True,True
LLM API,replicate,replicate,2023_end,2023-12-31,0.22.0,2023-12-08 12:45:14.197101+00:00,ok,replicate,replicate,2,False,True,True,True
LLM API,replicate,replicate,2024_end,2024-12-31,1.0.4,2024-11-25 12:36:47.252376+00:00,ok,replicate,replicate,3,False,True,True,True
LLM API,replicate,replicate,2025_end,2025-12-31,1.0.7,2025-05-27 11:29:06.801619+00:00,ok,replicate,replicate,4,False,True,True,True
LLM API,replicate,replicate,2026_current,2026-06-16,1.0.7,2025-05-27 11:29:06.801619+00:00,ok,replicate,replicate,5,False,True,True,True
LLM API,together,together,2022_end,2022-12-31,,,not_released_yet,together,together,1,True,False,False,False
LLM API,together,together,2023_end,2023-12-31,0.2.10,2023-12-08 21:54:47.416706+00:00,ok,together,together,2,False,True,True,True
LLM API,together,together,2024_end,2024-12-31,1.3.10,2024-12-18 22:59:13.030999+00:00,ok,together,together,3,False,True,True,True
LLM API,together,together,2025_end,2025-12-31,1.5.34,2025-12-23 14:23:19.685261+00:00,ok,together,together,4,False,True,True,True
LLM API,together,together,2026_current,2026-06-16,2.16.0,2026-05-23 15:19:23.281174+00:00,ok,together,together,5,False,True,True,True
Model Runtime,accelerate,accelerate,2022_end,2022-12-31,0.15.0,2022-12-01 20:34:57.083819+00:00,ok,accelerate,accelerate,1,False,True,True,True
Model Runtime,accelerate,accelerate,2023_end,2023-12-31,0.25.0,2023-12-01 14:33:27.268704+00:00,ok,accelerate,accelerate,2,False,True,True,True
Model Runtime,accelerate,accelerate,2024_end,2024-12-31,1.2.1,2024-12-13 18:54:30.970210+00:00,ok,accelerate,accelerate,3,False,True,True,True
